predicate_id,predicate_label,predicate_description
P1001,applies to jurisdiction,"the item (institution, law, public office, public register, etc) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, etc)"
P101,field of work,specialization of a person or organization; see P106 for the occupation
P1018,language regulatory body,regulatory body of a language
P102,member of political party,the political party of which a person is or has been a member or otherwise affiliated
P10241,individual of taxon,"the taxon of an individual named organism (animal, plant)"
P10254,associated cadastral district,cadastral district in which a place is located or is part of. Use only if distinct from administrative entities (P131) in predefined countries
P1026,academic thesis,thesis or dissertation written for a degree
P1027,conferred by,"person or organization who grants an award, certification, grant, or role"
P1028,donated by,person or organization who donated the object
P1029,crew member,people that participated operating or serving aboard this vehicle
P103,native language,language or languages a person (or group) has learned from early childhood
P1034,main food source,"species, genus or family that an organism depends on for nutrition"
P1035,honorific suffix,"word or expression with connotations conveying esteem or respect when used, after a name, in addressing or referring to a person"
P1037,director / manager,person who manages any kind of group or organisation
P1038,relative,"family member (qualify with kinship to subject, P1039; for direct family member please use specific property)"
P1040,film editor,"person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture"
P10449,trained by,"person who trained the subject, a human or an animal"
P1049,worshipped by,religion or group/civilization that worships a given deity
P105,taxon rank,level in a taxonomic hierarchy
P1050,medical condition,"any state relevant to the health of an organism, including diseases and positive conditions"
P1056,product or material produced,"material or product, including services, produced or provided by an organization, industry, facility, or process"
P1057,chromosome,chromosome on which an entity is localized
P106,occupation,"occupation of a person. See also ""field of work"" (Property:P101), ""position held"" (Property:P39). Not for groups of people. There, use ""field of work"" (Property:P101), ""industry"" (Property:P452), ""members have occupation"" (Property:P3989)."
P10606,notable role,"role in a theatrical, motion picture, television, or other work that a performer is particularly known for"
P10624,official observer status in organization,organization by which the subject is granted observer status
P1066,student of,person who has taught this person
P10664,featured track(s),soundtrack of this audiovisual work
P10680,franchisor,"one who licenses some or all of its know-how, procedures, intellectual property, use of its business model, brand, and rights to sell its branded products and services to a franchisee"
P10695,introduced in,work that introduced this concept or feature
P1071,location of creation,"place where the item was conceived or made; where applicable, location of final assembly"
P1074,fictional or mythical analog of,used to link an entity or class of entities appearing in a creative work with the analogous entity or class of entities in the real world
P10741,dance style,dance style that the subject participates or participated in or is associated with
P1075,rector,senior official in an educational institution.
P108,employer,person or organization for which the subject works or worked
P1080,from narrative universe,subject's fictional entity is in the object narrative. See also P1441 (present in work) and P1445 (fictional universe described in)
P10888,contains the statistical territorial entity,(list of) statistical territorial entities which are direct subdivisions of another statistical or administrative territorial entity
P110,illustrator,person drawing the pictures or taking the photographs in a book or similar work
P111,measured physical quantity,value of a physical property expressed as number multiplied by a unit
P11108,recorded participant,agent taking an active role as a participant in a nonfiction moving image or other recorded work
P11146,collection items at,"institution (museum, collection, etc.) holding items (specimens or other objects) collected by the subject (collector) or at the subject (e.g. site). (use archive location P485 for the archives)"
P112,founded by,"founder or co-founder of this organization, religion, place or entity"
P113,airline hub,airport that serves as a hub for an airline
P1136,solved by,person that solved a scientific question
P114,airline alliance,alliance the airline belongs to
P1142,political ideology,political ideology of an organization or person or of a work (such as a newspaper)
P115,home venue,home stadium or venue of a sports team or performing arts organization
P1165,home world,home planet or natural satellite for a fictional character or species
P11738,"handled, mitigated, or managed by",approach or method that can be used to address an issue or problem
P11799,alternate universe counterpart,this fictional character or entity is an alternate universe counterpart of the subject
P118,league or competition,"league or competition in which team or player has played, or in which an event occurs"
P11849,first performance by,performer or performing group for the first performance of a work
P119,place of burial,"location of grave, resting place, place of ash-scattering, etc. (e.g., town/city or cemetery) for a person or animal. There may be several places: e.g., re-burials, parts of body buried separately."
P1192,connecting service,service stopping at a station
P1196,manner of death,"general circumstances of a person's death; e.g. natural causes, accident, suicide, homicide, etc. Use 'cause of death' (P509) for the specific physiological mechanism, e.g. heart attack, trauma, pneumonia etc."
P12011,tribe,"recognised membership in a society, mainly denoted by shared cultural heritage; for ethnicity use P172"
P121,item operated,"equipment, installation or service operated by the subject"
P122,basic form of government,subject's government
P123,publisher,"organization or person responsible for publishing a work, such as a book, periodical, printed music, podcast, game or software"
P12328,simulates,"item simulated, imitated, or made to appear real by this item"
P12439,civil rank,non-military rank of a civil office holder in Russian Empire
P12443,has cabinet,value is the advisory committee to the item's head of state
P126,maintained by,person or organization in charge of keeping the subject (for instance an infrastructure) in functioning order
P12617,creative director,person who makes high-level creative decisions
P1268,represents,"organization, individual, or concept that an entity represents"
P1269,facet of,topic of which this item is an aspect; item that offers a broader perspective on the same topic
P127,owned by,owner of the subject
P12763,taxon synonym of,"name considered a preferred name, of which this item's taxon name is a synonym"
P12795,showrunner,person who is responsible for the day-to-day operation of a television show
P1283,filmography,"item for the list of films a person has contributed to. Don't use it to add film items. Instead, add actors as cast member (P161) on items for films, directors with director (P57)"
P12878,last appearance,last work featuring a fictional character or item
P129,physically interacts with,physical entity that the subject interacts with
P1290,godparent,person who is the godparent of a given person
P12913,class of object(s) of occurrence,class that includes the object(s) to which this occurrence (or class of occurrence) occurs or occurred
P12969,game designer,person(s) who devised and developed this game
P1299,depicted by,"object depicting this subject (object being creative works such as books, films, paintings)"
P1303,instrument,musical instrument that a person plays or teaches or used in a music occupation
P1304,central bank,country's central bank
P13044,characteristic of,"subject item or statement is a characteristic, quality, property, or state of this object (use a more specific property where possible)"
P1308,position holder,persons who hold and/or held the position
P131,located in the administrative territorial entity,the item is located on the territory of the following administrative entity. Use P276 for specifying locations that are non-administrative places and for items about events. Use P1382 if the item falls only partially into the administrative entity
P1313,office held by head of government,political office that is fulfilled by the head of the government of this item
P13176,taxon known by this common name,taxon item to which this common name refers
P13177,homonymous taxon,taxon item of which the taxon name is an exact homonym
P1318,proved by,person who proved something
P1327,partner in business or sport,professional collaborator
P1336,territory claimed by,administrative divisions that claim control of a given area
P1340,eye color,color of the irises of a person's eyes
P1344,participant in,"event in which a person, organization or creative work was/is a participant; inverse of P710 or P1923"
P1346,winner,"winner of a competition or similar event, not to be used from the awardees record (instead use ""award received"" (P166), possibly qualified with ""for work"" (P1686)) nor for wars or battles"
P1347,military casualty classification,"allowed values: killed in action (Q210392), missing in action (Q2344557), died of wounds (Q16861372), prisoner of war (Q179637), killed in flight accident (Q16861407), others used in military casualty classification"
P135,movement,"literary, artistic, scientific or philosophical movement or scene associated with this person or work. For political ideologies use P1142."
P13574,‎most populous urban area,"city or town with the largest population in this area (country, state, county, continent, etc.)"
P136,genre,creative work's genre or an artist's field of work (P101). Use main subject (P921) to relate creative works to their topic
P13602,single taken from the album or EP,indicates the album or extented play (EP) from which the single is taken
P1365,replaces,"person, state or item replaced. Use ""structure replaces"" (P1398) for structures. Use ""follows"" (P155) if the previous item was not replaced or predecessor and successor are identical"
P1366,replaced by,"other person or item which continues the item by replacing it in its role. Use P156 (""followed by"") if the item is not replaced nor identical, but adds to the series (e.g. books in a series)."
P137,operator,"person, profession, organization or entity that operates the equipment, facility, or service"
P13713,awarded for type of work,kind of work for which an award is given
P1376,capital of,"country, state, department, canton or other administrative division of which the municipality is the governmental seat"
P138,named after,"entity or event that inspired the subject's name, or namesake (in at least one language). Qualifier ""applies to name"" (P5168) can be used to indicate which one"
P1382,partially coincident with,"object that partially overlaps with the subject in its instances, parts, or members"
P1383,contains settlement,settlement which an administrative division contains
P1387,political alignment,political position within the left–right political spectrum
P1398,structure replaces,"the item this building or structure replaced, at the same geographic location"
P1399,convicted of,crime a person or organization was convicted of
P140,religion or worldview,"religion of a person, organization or religious building, or associated with this subject"
P1408,licensed to broadcast to,place that a radio/TV station is licensed/required to broadcast to
P1411,nominated for,"award nomination received by a person, organisation or creative work (inspired from ""award received"" (Property:P166))"
P1412,"languages spoken, written or signed","language(s) that a person or a people speaks, writes or signs, including the native language(s)"
P1416,affiliation,organization that a person or organization is affiliated with (not necessarily member of or employed by)
P1419,shape,shape of an object
P1420,taxon synonym,name listed as synonym of this item's taxon name
P1425,ecoregion (WWF),ecoregion of the item (choose from WWF's list)
P1427,start point,"starting place of this journey, flight, voyage, trek, migration etc."
P1429,has pet,pet that a person owns
P1431,executive producer,"executive producer of a movie, TV show, or other piece of media or entertainment"
P1433,published in,"larger work that a given work was published in, like a journal, a website, a collection, a book or a music album"
P1434,takes place in fictional universe,"the subject is a work describing a fictional universe, i.e. whose plot occurs in this universe"
P1435,heritage designation,heritage designation of a cultural or natural site
P144,based on,the work(s) or inputs used as the basis for subject item; for fictional analog use P1074
P1441,present in work,"this (fictional or fictionalized) entity, place, or person appears in that work as part of the narration (use P2860 for works citing other works, P361/P1433 for works being part of other works, P1343 for entities described in non-fictional accounts)"
P1444,destination point,"destination for this route (journey, flight, sailing, exploration, migration, etc.)"
P1445,fictional universe described in,"to link a fictional universe with a work that describes it: <universe> ""described in the work:"" <work>"
P1454,legal form,legal form of an entity
P1455,list of works,link to the article with the works of a person; use P358 for discographies
P1478,has immediate cause,"nearest, proximate thing that directly resulted in the subject as outcome or effect. Used in conjunction with 'has cause' (i.e. underlying cause) and 'has contributing factor'. See 'Help:Modeling causes'."
P1479,has contributing factor,"thing that significantly influenced, but did not directly cause, this outcome or effect. Used in conjunction with 'has cause' and 'has immediate cause'. See '[[Help:Modeling causes]]'."
P149,architectural style,architectural style of a structure
P150,contains the administrative territorial entity,(list of) direct subdivisions of an administrative territorial entity
P1532,country for sport,country a person or a team represents when playing a sport
P1535,used by,item or concept that makes use of the subject (use sub-properties when appropriate)
P1537,contributing factor of,"thing that is significantly influenced by this cause, but does not directly result from it. See 'Help:Modeling causes' for examples and discussion."
P1542,has effect,effect of this item
P1546,motto,description of the motto of the subject
P155,follows,"immediately prior item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has replaced the preceding item, e.g. political offices, use ""replaces"" (P1365)]"
P1552,has characteristic,inherent or distinguishing quality or feature of the entity. Use a more specific property when possible
P1557,manifestation of,inherent and characteristic embodiment of a given concept
P156,followed by,"immediately following item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has been replaced, e.g. political offices, use ""replaced by"" (P1366)]"
P157,killed by,person or organization who killed the subject
P1574,exemplar of,links an individual copy of a work to the item for that work or edition
P1576,lifestyle,"typical way of life of an individual, group, or culture"
P1582,natural product of taxon,"links a natural product with its source (animal, plant, fungal, algal, etc.)"
P1589,lowest point,point with lowest elevation in a region or path
P159,headquarters location,city or town where an organization's headquarters is or has been situated. Use P276 qualifier for specific building
P1591,defendant,person or organization accused at a trial
P1598,consecrator,bishop who presided as consecrator or co-consecrator of this bishop
P16,transport network,network the infrastructure is a part of
P161,cast member,"actor in the subject production [use ""character role"" (P453) and/or ""name of the character role"" (P4633) as qualifiers] [use ""voice actor"" (P725) for voice-only role] - [use ""recorded participant"" (P11108) for non-fiction productions]"
P162,producer,"person(s) who produced the film, musical work, theatrical production, etc. (for film, this does not include executive producers, associate producers, etc.) [for production company, use P272, video games - use P178]"
P1620,plaintiff,party who initiates a lawsuit
P1622,driving side,side of the road that vehicles drive on in a given jurisdiction
P1625,has melody,this work has the melody of the following work
P163,flag,subject's flag
P1639,pendant of,"other work in a pair of opposing artworks, such as wedding portraits, commissioned together, but not always"
P1640,curator,content specialist responsible for this collection or exhibition
P1657,MPA film rating,US film classification administered by the Motion Picture Association
P166,award received,"award or recognition received by a person, organization or creative work"
P167,structure replaced by,"the item which replaced this building or structure, at the same geographic location"
P1672,this taxon is source of,"links a taxon to natural products it produces. Note that it does not say ""this taxon is the source of"" or ""this taxon is a source of"" as this may vary. Some products may be yielded by more than one taxon."
P1686,for work,qualifier of award received (P166) to specify the work that an award was given to the creator for
P169,chief executive officer,highest-ranking corporate officer appointed as the CEO within an organization
P17,country,sovereign state that this item is in (not to be used for human beings)
P170,creator,maker of this creative work or other object (where no more specific property exists)
P171,parent taxon,closest parent taxon of the taxon in question
P1716,brand,commercial brand associated with the item
P172,ethnic group,"subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it themselves, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such)"
P175,performer,"actor, musician, band or other performer associated with this role or musical work"
P176,manufacturer,(main or final) manufacturer or producer of this product
P177,crosses,"obstacle (body of water, road, railway...) which this bridge (ferry, ford) crosses over or this tunnel goes under"
P1777,manner of,"for unknown artists who worked in a similar style as the named author, but not necessary from the same period"
P178,developer,organization or person that developed the item
P1789,chief operating officer,the chief operating officer of an organization
P179,part of the series,series which contains the subject
P180,depicts,"entity visually depicted in an image, literarily described in a work, or otherwise incorporated into an audiovisual or other medium; see also P921, 'main subject'"
P1809,choreographer,person(s) who did the choreography
P1817,addressee,person or organization to whom a letter or note is addressed
P183,endemic to,sole location or habitat type where the taxon lives
P1830,owner of,entities owned by the subject
P184,doctoral advisor,person who supervised the doctorate or PhD thesis of the subject
P1840,investigated by,person or organization involved in investigation of the item
P185,doctoral student,doctoral student(s) of a professor
P186,made from material,material the subject or the object is made of or derived from (do not confuse with P10672 which is used for processes)
P1875,represented by,person or agency that represents or manages the subject
P1876,vessel,"vessel involved in this mission, navigation or event"
P1877,after a work by,artist whose work strongly inspired / was copied in this item
P1884,hair color,person's hair color. Use P585 as qualifier if there's more than one value
P1885,cathedral,principal church of a religious district
P189,location of discovery,where the item was located when discovered
P1891,signatory,"person, country, or organization that has signed an official document (use P50 for author)"
P19,place of birth,"most specific known birth location of a person, animal or fictional character"
P190,twinned administrative body,"twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments"
P1906,office held by head of state,political office that is fulfilled by the head of state of this item
P1909,side effect,"effect of a medication or procedure, that occurs next to the desired effect"
P1910,decreased expression in,indicates that a decreased expression of the subject gene is found in the object disease
P1911,increased expression in,this property should link a gene and a disease and indicate that an increased expression of the gene is found in the disease
P1916,gene substitution association with,disease caused or associated with the substitution of this gene
P1918,altered regulation leads to,this property should link a gene and a disease due to altered regulation
P1923,participating team,like 'Participant' (P710) but for teams. For an event like a cycle race or a football match you can use this property to list the teams and P710 to list the individuals (with 'member of sports team' (P54) as a qualifier for the individuals)
P1924,vaccine for,disease that a vaccine is for
P193,main building contractor,the main organization (or person) responsible for construction of this structure or building
P194,legislative body,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council"
P195,collection,"art, museum, archival, or bibliographic collection of which the subject is part (item is in the collection of X)"
P1950,second family name in Spanish name,second (generally maternal) family name in Spanish names (do not use for other double barrelled names) and in some French names.
P1951,investor,individual or organization which invests money in the item for the purpose of obtaining financial return on their investment
P196,minor planet group,is in grouping of minor planets according to similar orbital characteristics
P197,adjacent station,"the stations next to this station, sharing the same line(s)"
P199,organizational divisions,organizational divisions of this organization (which are not independent legal entities)
P1995,health specialty,main specialty relevant to this medical condition or treatment
P20,place of death,"most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character"
P200,inflows,"major inflow sources — rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none"
P201,outflows,"rivers and other outflows waterway names. If evaporation or seepage are notable outflows, they may be included. Some terms may not be place names, e.g. evaporation"
P2012,cuisine,type of food served by a restaurant or restaurant chain or national food culture
P205,basin country,country that have drainage to/from or border the body of water
P206,located in or next to body of water,body of water on or next to which a place is located
P2061,aspect ratio (W:H),"image width to height ratio of flags, films, photographs, and other images"
P2079,fabrication method,"method, process or technique used to grow, cook, weave, build, assemble, manufacture the item"
P208,executive body,branch of government for the daily administration of the territorial entity
P209,highest judicial authority,"supreme judicial body within a country, administrative division, or other organization"
P2094,competition class,"official classification by a regulating body under which the subject (events, teams, participants, or equipment) qualifies for inclusion"
P2098,substitute/deputy/replacement of office/officeholder,function that serves as deputy/replacement of this function/office (scope/conditions vary depending on office)
P21,sex or gender,"sex or gender identity of human or animal. For human: male, female, non-binary, intersex, transgender female, transgender male, agender, etc. For animal: male organism, female organism. Groups of same gender use subclass of (P279)"
